"Symbol";"Date";"Open";"High";"Low";"Close"
GC3-067;13.01.2011;1627,8;1633,6;1609,8;1614,5
GC3-067;14.01.2011;1614,3;1618,5;1595,3;1602,1
GC3-067;17.01.2011;1601,9;1606,2;1597,5;1601,8
GC3-067;18.01.2011;1601,7;1616,7;1600,8;1607,9
GC3-067;19.01.2011;1608,5;1619,6;1606,2;1610,7
GC3-067;20.01.2011;1610,6;1611,6;1583,1;1585,7
GC3-067;21.01.2011;1586,2;1590,4;1577,7;1582,6
GC3-067;24.01.2011;1583,7;1593,1;1572,5;1574,6
GC3-067;25.01.2011;1574,5;1578,7;1562,6;1572,4
GC3-067;26.01.2011;1572,2;1587,1;1565,0;1585,7
GC3-067;27.01.2011;1586,6;1588,2;1550,4;1554,7
GC3-067;28.01.2011;1554,7;1587,3;1548,4;1578,7
GC3-067;31.01.2011;1579,7;1586,6;1564,0;1573,3
GC3-067;01.02.2011;1573,6;1583,7;1565,6;1583,1
GC3-067;02.02.2011;1583,1;1585,2;1566,9;1575,3
GC3-067;03.02.2011;1575,6;1596,2;1564,9;1595,7
GC3-067;04.02.2011;1596,0;1600,6;1585,1;1588,7
GC3-067;07.02.2011;1587,7;1594,1;1583,7;1592,2
GC3-067;08.02.2011;1592,5;1608,3;1588,5;1604,2
GC3-067;09.02.2011;1603,4;1607,3;1597,9;1603,8
GC3-067;10.02.2011;1603,8;1606,4;1591,0;1603,5
GC3-067;11.02.2011;1603,6;1609,3;1593,9;1596,3
GC3-067;14.02.2011;1597,8;1607,1;1594,0;1601,5
GC3-067;15.02.2011;1601,7;1617,1;1600,9;1613,2
GC3-067;16.02.2011;1613,9;1622,3;1607,9;1615,6
GC3-067;17.02.2011;1616,1;1625,4;1614,2;1625,4
GC3-067;18.02.2011;1625,0;1632,2;1621,6;1629,0
GC3-067;21.02.2011;1629,7;1648,6;1629,7;1646,6
GC3-067;22.02.2011;1629,7;1651,1;1629,7;1639,0
GC3-067;23.02.2011;1639,0;1656,9;1635,6;1651,7
GC3-067;24.02.2011;1651,7;1658,4;1631,8;1642,1
GC3-067;25.02.2011;1641,5;1652,0;1639,7;1649,6
GC3-067;28.02.2011;1650,8;1656,6;1644,8;1649,5
GC3-067;01.03.2011;1651,2;1675,2;1649,4;1670,8
GC3-067;02.03.2011;1674,5;1680,6;1667,8;1677,3
GC3-067;03.03.2011;1676,1;1676,5;1650,2;1656,0
GC3-067;04.03.2011;1655,3;1673,6;1653,4;1668,2
GC3-067;07.03.2011;1674,6;1685,3;1667,9;1674,1
GC3-067;08.03.2011;1671,9;1676,8;1663,2;1666,8
GC3-067;09.03.2011;1669,3;1676,4;1662,8;1669,2
GC3-067;10.03.2011;1670,7;1671,4;1642,6;1652,1
GC3-067;11.03.2011;1651,4;1664,2;1644,4;1661,4
GC3-067;14.03.2011;1661,5;1673,1;1657,8;1664,5
GC3-067;15.03.2011;1668,5;1668,6;1620,3;1632,4
GC3-067;16.03.2011;1634,4;1646,2;1631,9;1635,7
GC3-067;17.03.2011;1639,6;1645,0;1626,4;1643,8
GC3-067;18.03.2011;1644,5;1663,7;1641,8;1658,9
GC3-067;21.03.2011;1663,8;1674,7;1663,1;1666,6
GC3-067;22.03.2011;1666,9;1671,9;1659,1;1668,3
GC3-067;23.03.2011;1668,5;1680,8;1665,4;1678,1
GC3-067;24.03.2011;1677,6;1688,2;1663,3;1670,6
GC3-067;25.03.2011;1673,1;1677,7;1661,6;1669,5
GC3-067;28.03.2011;1668,1;1669,6;1649,7;1660,2
GC3-067;29.03.2011;1660,6;1663,1;1650,6;1657,9
GC3-067;30.03.2011;1658,3;1669,9;1651,6;1663,5
GC3-067;31.03.2011;1662,9;1679,5;1660,2;1671,4
GC3-067;01.04.2011;1672,3;1676,3;1652,0;1667,7
GC3-067;04.04.2011;1668,5;1678,8;1667,6;1674,1
GC3-067;05.04.2011;1674,1;1697,1;1669,5;1696,3
GC3-067;06.04.2011;1696,7;1702,2;1691,0;1698,5
GC3-067;07.04.2011;1698,6;1705,0;1692,2;1698,0
GC3-067;08.04.2011;1698,3;1714,9;1696,2;1714,9
GC3-067;11.04.2011;1714,8;1716,5;1698,7;1702,7
GC3-067;12.04.2011;1703,7;1707,0;1683,5;1693,0
GC3-067;13.04.2011;1692,5;1702,2;1690,5;1697,2
GC3-067;14.04.2011;1696,6;1715,2;1691,7;1714,3
GC3-067;15.04.2011;1715,1;1727,6;1710,7;1725,6
GC3-067;18.04.2011;1726,5;1737,1;1716,3;1734,9
GC3-067;19.04.2011;1735,1;1739,0;1726,7;1733,7
GC3-067;20.04.2011;1734,6;1745,0;1732,3;1741,0
GC3-067;21.04.2011;1740,5;1748,1;1738,9;1743,4
GC3-067;25.04.2011;1749,2;1757,7;1740,7;1746,2
GC3-067;26.04.2011;1745,7;1747,0;1730,5;1745,8
GC3-067;27.04.2011;1745,4;1769,2;1741,8;1766,0
GC3-067;28.04.2011;1766,3;1777,3;1762,4;1774,5
GC3-067;29.04.2011;1773,8;1808,3;1770,6;1804,3
GC3-067;02.05.2011;1805,3;1815,9;1778,8;1784,2
GC3-067;03.05.2011;1783,7;1789,9;1754,7;1775,6
GC3-067;04.05.2011;1776,2;1782,0;1744,0;1754,9
GC3-067;05.05.2011;1755,5;1760,6;1701,0;1711,5
GC3-067;06.05.2011;1714,4;1737,0;1709,6;1733,7
GC3-067;09.05.2011;1735,1;1752,4;1727,5;1751,4
GC3-067;10.05.2011;1751,0;1758,5;1743,7;1754,0
GC3-067;11.05.2011;1754,4;1765,3;1733,9;1739,1
GC3-067;12.05.2011;1737,7;1748,2;1716,1;1745,0
GC3-067;13.05.2011;1745,0;1754,9;1720,5;1732,7
GC3-067;16.05.2011;1733,1;1742,8;1724,5;1728,0
GC3-067;17.05.2011;1728,5;1736,0;1709,6;1725,2
GC3-067;18.05.2011;1725,0;1738,2;1723,1;1735,1
GC3-067;19.05.2011;1734,0;1738,1;1724,3;1731,9
GC3-067;20.05.2011;1732,0;1754,3;1724,9;1752,1
GC3-067;23.05.2011;1751,3;1757,5;1742,2;1755,5
GC3-067;24.05.2011;1755,7;1767,5;1751,7;1764,6
GC3-067;25.05.2011;1764,7;1771,0;1759,8;1764,3
GC3-067;26.05.2011;1764,5;1769,6;1753,1;1757,9
GC3-067;27.05.2011;1757,9;1777,0;1756,9;1775,0
GC3-067;30.05.2011;1775,2;1777,9;1773,0;1777,6
GC3-067;31.05.2011;1777,4;1779,6;1770,9;1773,7
GC3-067;01.06.2011;1774,3;1789,3;1768,1;1779,6
GC3-067;02.06.2011;1779,9;1783,2;1758,1;1772,4
GC3-067;03.06.2011;1772,7;1786,1;1762,6;1781,3
GC3-067;06.06.2011;1782,2;1792,7;1779,3;1782,5
GC3-067;07.06.2011;1782,7;1789,1;1774,7;1783,2
GC3-067;08.06.2011;1782,7;1785,1;1769,5;1776,2
GC3-067;09.06.2011;1776,0;1788,5;1771,7;1783,1
GC3-067;10.06.2011;1782,8;1784,2;1764,4;1770,2
GC3-067;13.06.2011;1768,4;1771,6;1749,1;1753,8
GC3-067;14.06.2011;1754,2;1765,3;1750,5;1762,6
GC3-067;15.06.2011;1762,8;1773,4;1752,2;1768,7
GC3-067;16.06.2011;1768,7;1771,7;1759,7;1767,7
GC3-067;17.06.2011;1766,8;1780,7;1760,9;1777,5
GC3-067;20.06.2011;1779,0;1785,9;1771,3;1778,5
GC3-067;21.06.2011;1778,8;1786,7;1777,0;1785,8
GC3-067;22.06.2011;1785,6;1797,0;1779,7;1786,2
GC3-067;23.06.2011;1786,2;1787,3;1749,2;1759,0
GC3-067;24.06.2011;1760,4;1764,2;1736,2;1740,5
GC3-067;27.06.2011;1738,6;1743,8;1728,5;1735,3
GC3-067;28.06.2011;1734,5;1744,7;1733,2;1740,4
GC3-067;29.06.2011;1740,2;1751,5;1738,5;1749,4
GC3-067;30.06.2011;1750,0;1752,5;1736,8;1738,5
GC3-067;01.07.2011;1739,2;1740,7;1716,0;1724,4
GC3-067;04.07.2011;1724,5;1734,8;1723,9;1734,2
GC3-067;05.07.2011;1733,4;1755,7;1731,3;1754,2
GC3-067;06.07.2011;1753,9;1772,2;1748,0;1767,3
GC3-067;07.07.2011;1767,4;1772,6;1759,9;1770,6
GC3-067;08.07.2011;1770,2;1783,7;1762,7;1782,3
GC3-067;11.07.2011;1782,7;1795,3;1779,8;1792,5
GC3-067;12.07.2011;1792,5;1812,0;1778,8;1805,3
GC3-067;13.07.2011;1805,7;1826,6;1802,3;1820,7
GC3-067;14.07.2011;1821,9;1832,6;1817,1;1825,4
GC3-067;15.07.2011;1825,3;1832,2;1813,7;1832,2
GC3-067;18.07.2011;1832,0;1845,6;1829,1;1843,2
